nom_produit,marque,prix,categorie,plateforme,site_source,url_produit,note,nombre_avis,disponibilite,page
A Light in the Attic,Chanel (Simulé),51.77€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,Three,0,En stock,1
Tipping the Velvet,Chanel (Simulé),53.74€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,One,0,En stock,1
Soumission,Chanel (Simulé),50.10€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/soumission_998/index.html,One,0,En stock,1
Sharp Objects,Chanel (Simulé),47.82€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,Four,0,En stock,1
Sapiens: A Brief History of Humankind,Chanel (Simulé),54.23€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,Five,0,En stock,1
The Requiem Red,Chanel (Simulé),22.65€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,One,0,En stock,1
The Dirty Little Secrets of Getting Your Dream Job,Chanel (Simulé),33.34€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,Four,0,En stock,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Chanel (Simulé),17.93€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,Three,0,En stock,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Chanel (Simulé),22.60€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,Four,0,En stock,1
The Black Maria,Chanel (Simulé),52.15€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,One,0,En stock,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Chanel (Simulé),13.99€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,Two,0,En stock,1
Shakespeare's Sonnets,Chanel (Simulé),20.66€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Four,0,En stock,1
Set Me Free,Chanel (Simulé),17.46€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/set-me-free_988/index.html,Five,0,En stock,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Chanel (Simulé),52.29€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Five,0,En stock,1
Rip it Up and Start Again,Chanel (Simulé),35.02€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Five,0,En stock,1
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Chanel (Simulé),57.25€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,Three,0,En stock,1
Olio,Chanel (Simulé),23.88€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/olio_984/index.html,One,0,En stock,1
Mesaerion: The Best Science Fiction Stories 1800-1849,Chanel (Simulé),37.59€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,One,0,En stock,1
Libertarianism for Beginners,Chanel (Simulé),51.33€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Two,0,En stock,1
It's Only the Himalayas,Chanel (Simulé),45.17€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Two,0,En stock,1
In Her Wake,Chanel (Simulé),12.84€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,One,0,En stock,2
How Music Works,Chanel (Simulé),37.32€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/how-music-works_979/index.html,Two,0,En stock,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Chanel (Simulé),30.52€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,Three,0,En stock,2
Chase Me (Paris Nights #2),Chanel (Simulé),25.27€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,Five,0,En stock,2
Black Dust,Chanel (Simulé),34.53€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/black-dust_976/index.html,Five,0,En stock,2
Birdsong: A Story in Pictures,Chanel (Simulé),54.64€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,Three,0,En stock,2
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Chanel (Simulé),22.50€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,Three,0,En stock,2
Aladdin and His Wonderful Lamp,Chanel (Simulé),53.13€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,Three,0,En stock,2
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Chanel (Simulé),40.30€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,Five,0,En stock,2
Wall and Piece,Chanel (Simulé),44.18€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,Four,0,En stock,2
The Four Agreements: A Practical Guide to Personal Freedom,Chanel (Simulé),17.66€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,Five,0,En stock,2
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Chanel (Simulé),31.05€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,Three,0,En stock,2
The Elephant Tree,Chanel (Simulé),23.82€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,Five,0,En stock,2
The Bear and the Piano,Chanel (Simulé),36.89€,Haute Parfumerie & Beauté,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,One,0,En stock,2
