nom_produit,marque,prix,categorie,plateforme,site_source,url_produit,note,nombre_avis,disponibilite,page
A Light in the Attic,Dior (Simulé),51.77€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,Three,0,In stock,1
Tipping the Velvet,Dior (Simulé),53.74€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,One,0,In stock,1
Soumission,Dior (Simulé),50.10€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/soumission_998/index.html,One,0,In stock,1
Sharp Objects,Dior (Simulé),47.82€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,Four,0,In stock,1
Sapiens: A Brief History of Humankind,Dior (Simulé),54.23€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,Five,0,In stock,1
The Requiem Red,Dior (Simulé),22.65€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,One,0,In stock,1
The Dirty Little Secrets of Getting Your Dream Job,Dior (Simulé),33.34€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,Four,0,In stock,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Dior (Simulé),17.93€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,Three,0,In stock,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Dior (Simulé),22.60€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,Four,0,In stock,1
The Black Maria,Dior (Simulé),52.15€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,One,0,In stock,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Dior (Simulé),13.99€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,Two,0,In stock,1
Shakespeare's Sonnets,Dior (Simulé),20.66€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Four,0,In stock,1
Set Me Free,Dior (Simulé),17.46€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/set-me-free_988/index.html,Five,0,In stock,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Dior (Simulé),52.29€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Five,0,In stock,1
Rip it Up and Start Again,Dior (Simulé),35.02€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Five,0,In stock,1
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Dior (Simulé),57.25€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,Three,0,In stock,1
Olio,Dior (Simulé),23.88€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/olio_984/index.html,One,0,In stock,1
Mesaerion: The Best Science Fiction Stories 1800-1849,Dior (Simulé),37.59€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,One,0,In stock,1
Libertarianism for Beginners,Dior (Simulé),51.33€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Two,0,In stock,1
It's Only the Himalayas,Dior (Simulé),45.17€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Two,0,In stock,1
In Her Wake,Dior (Simulé),12.84€,Parfums & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,One,0,In stock,2
