nom_produit,marque,prix,categorie,plateforme,site_source,url_produit,note,nombre_avis,disponibilite,page
A Light in the Attic,Estée Lauder (Simulé),51.77€,Luxe & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,Three,0,En stock,1
Tipping the Velvet,Estée Lauder (Simulé),53.74€,Luxe & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,One,0,En stock,1
Soumission,Estée Lauder (Simulé),50.10€,Luxe & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/soumission_998/index.html,One,0,En stock,1
Sharp Objects,Estée Lauder (Simulé),47.82€,Luxe & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,Four,0,En stock,1
Sapiens: A Brief History of Humankind,Estée Lauder (Simulé),54.23€,Luxe & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,Five,0,En stock,1
The Requiem Red,Estée Lauder (Simulé),22.65€,Luxe & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,One,0,En stock,1
The Dirty Little Secrets of Getting Your Dream Job,Estée Lauder (Simulé),33.34€,Luxe & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,Four,0,En stock,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Estée Lauder (Simulé),17.93€,Luxe & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,Three,0,En stock,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Estée Lauder (Simulé),22.60€,Luxe & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,Four,0,En stock,1
The Black Maria,Estée Lauder (Simulé),52.15€,Luxe & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,One,0,En stock,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Estée Lauder (Simulé),13.99€,Luxe & Cosmétiques,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,Two,0,En stock,1
