nom_produit,marque,prix,categorie,plateforme,site_source,url_produit,note,nombre_avis,disponibilite,page
A Light in the Attic,Guerlain (Simulé),51.77€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,Three,0,En stock,1
Tipping the Velvet,Guerlain (Simulé),53.74€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,One,0,En stock,1
Soumission,Guerlain (Simulé),50.10€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/soumission_998/index.html,One,0,En stock,1
Sharp Objects,Guerlain (Simulé),47.82€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,Four,0,En stock,1
Sapiens: A Brief History of Humankind,Guerlain (Simulé),54.23€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,Five,0,En stock,1
The Requiem Red,Guerlain (Simulé),22.65€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,One,0,En stock,1
The Dirty Little Secrets of Getting Your Dream Job,Guerlain (Simulé),33.34€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,Four,0,En stock,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Guerlain (Simulé),17.93€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,Three,0,En stock,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Guerlain (Simulé),22.60€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,Four,0,En stock,1
The Black Maria,Guerlain (Simulé),52.15€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,One,0,En stock,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Guerlain (Simulé),13.99€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,Two,0,En stock,1
Shakespeare's Sonnets,Guerlain (Simulé),20.66€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Four,0,En stock,1
Set Me Free,Guerlain (Simulé),17.46€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/set-me-free_988/index.html,Five,0,En stock,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Guerlain (Simulé),52.29€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Five,0,En stock,1
Rip it Up and Start Again,Guerlain (Simulé),35.02€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,Five,0,En stock,1
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Guerlain (Simulé),57.25€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,Three,0,En stock,1
Olio,Guerlain (Simulé),23.88€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/olio_984/index.html,One,0,En stock,1
Mesaerion: The Best Science Fiction Stories 1800-1849,Guerlain (Simulé),37.59€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,One,0,En stock,1
Libertarianism for Beginners,Guerlain (Simulé),51.33€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,Two,0,En stock,1
It's Only the Himalayas,Guerlain (Simulé),45.17€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Two,0,En stock,1
In Her Wake,Guerlain (Simulé),12.84€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,One,0,En stock,2
How Music Works,Guerlain (Simulé),37.32€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/how-music-works_979/index.html,Two,0,En stock,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Guerlain (Simulé),30.52€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,Three,0,En stock,2
Chase Me (Paris Nights #2),Guerlain (Simulé),25.27€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,Five,0,En stock,2
Black Dust,Guerlain (Simulé),34.53€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/black-dust_976/index.html,Five,0,En stock,2
Birdsong: A Story in Pictures,Guerlain (Simulé),54.64€,Parfumerie de Luxe,E-commerce,Books to Scrape,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,Three,0,En stock,2
